experiment "Irregular waves for ECN campaign SOFTWIND SPAR" with ("nantes_main_posn/default.ttf")
/* Wave data read from .dat files prepared with MatLab routine LHEEA_irrwave_generation_SW_SPAR_additionnal.m */
/* Poly-chromatic wave data*/
wave (or run) 1;
Period	Frequency	Amplitude	Height	Direction	Phase
s	Hz	m	m	deg	rad
1.34383	0.744141	0.00164712	0.00329425	0	3.72865
1.34207	0.745117	0.00164365	0.00328729	0	5.30201
1.34031	0.746094	0.00164017	0.00328034	0	2.39399
1.33856	0.74707	0.0016367	0.0032734	0	4.7115
1.33681	0.748047	0.00163323	0.00326645	0	3.2116
1.33507	0.749023	0.00162976	0.00325952	0	3.3989
1.33333	0.75	0.00162629	0.00325258	0	6.0283
1.3316	0.750977	0.00162283	0.00324565	0	5.05144
1.32987	0.751953	0.00161937	0.00323873	0	0.203092
1.32815	0.75293	0.00161591	0.00323181	0	4.45721
1.32642	0.753906	0.00161245	0.0032249	0	2.92169
1.32471	0.754883	0.001609	0.00321799	0	5.95363
1.323	0.755859	0.00160554	0.00321109	0	1.3913
1.32129	0.756836	0.0016021	0.00320419	0	1.67806
1.31959	0.757813	0.00159865	0.0031973	0	0.511916
1.31789	0.758789	0.00159521	0.00319042	0	2.69309
1.3162	0.759766	0.00159177	0.00318354	0	0.684985
1.31451	0.760742	0.00158833	0.00317667	0	3.9822
1.31282	0.761719	0.0015849	0.0031698	0	5.04517
1.31114	0.762695	0.00158147	0.00316295	0	4.37813
1.30946	0.763672	0.00157805	0.00315609	0	4.81425
1.30779	0.764648	0.00157462	0.00314925	0	2.1517
1.30612	0.765625	0.00157121	0.00314241	0	5.31464
1.30446	0.766602	0.00156779	0.00313558	0	2.69403
1.3028	0.767578	0.00156438	0.00312876	0	5.17741
1.30114	0.768555	0.00156097	0.00312195	0	3.93639
1.29949	0.769531	0.00155757	0.00311514	0	0.901154
1.29785	0.770508	0.00155417	0.00310834	0	0.492519
1.2962	0.771484	0.00155077	0.00310155	0	0.115187
1.29456	0.772461	0.00154738	0.00309476	0	0.419246
1.29293	0.773438	0.00154399	0.00308799	0	2.88137
1.2913	0.774414	0.00154061	0.00308122	0	0.712148
1.28967	0.775391	0.00153723	0.00307447	0	0.174568
1.28805	0.776367	0.00153386	0.00306772	0	4.74293
1.28643	0.777344	0.00153049	0.00306098	0	2.48092
1.28482	0.77832	0.00152712	0.00305424	0	4.69315
1.28321	0.779297	0.00152376	0.00304752	0	2.84254
1.2816	0.780273	0.0015204	0.00304081	0	2.82798
1.28	0.78125	0.00151705	0.0030341	0	3.00382
1.2784	0.782227	0.0015137	0.00302741	0	2.97825
1.27681	0.783203	0.00151036	0.00302072	0	5.04642
1.27522	0.78418	0.00150702	0.00301404	0	2.52831
1.27363	0.785156	0.00150369	0.00300738	0	5.68431
1.27205	0.786133	0.00150036	0.00300072	0	0.232861
1.27047	0.787109	0.00149704	0.00299407	0	4.8624
1.2689	0.788086	0.00149372	0.00298743	0	0.789428
1.26733	0.789063	0.0014904	0.00298081	0	3.88624
1.26576	0.790039	0.00148709	0.00297419	0	0.0651206
1.2642	0.791016	0.00148379	0.00296758	0	3.3843
1.26264	0.791992	0.00148049	0.00296098	0	0.0189624
1.26108	0.792969	0.0014772	0.0029544	0	5.97653
1.25953	0.793945	0.00147391	0.00294782	0	5.68881
1.25799	0.794922	0.00147063	0.00294125	0	5.00121
1.25644	0.795898	0.00146735	0.0029347	0	5.75084
1.2549	0.796875	0.00146408	0.00292815	0	0.914569
1.25337	0.797852	0.00146081	0.00292162	0	0.991047
1.25183	0.798828	0.00145755	0.00291509	0	1.17892
1.25031	0.799805	0.00145429	0.00290858	0	3.91126
1.24878	0.800781	0.00145104	0.00290208	0	5.69137
1.24726	0.801758	0.00144779	0.00289559	0	6.22007
1.24574	0.802734	0.00144455	0.00288911	0	4.46811
1.24423	0.803711	0.00144132	0.00288264	0	4.59804
1.24272	0.804688	0.00143809	0.00287618	0	5.71326
1.24121	0.805664	0.00143487	0.00286974	0	2.51876
1.23971	0.806641	0.00143165	0.0028633	0	1.56986
1.23821	0.807617	0.00142844	0.00285688	0	1.08969
