# Forces      
# CofR        : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.042         	((2.8056455e-03 -2.6858022e-03 3.3295714e+03) (4.7668129e-07 5.0863222e-07 -4.8127000e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-7.3219122e-03 -1.5631900e-03 -1.1266605e-06) (2.3616151e-07 -1.4391131e-07 2.2515836e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.043         	((-3.3109894e-03 2.2420379e-03 3.3278914e+03) (4.7819407e-07 5.1078115e-07 -4.8107042e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((4.8254081e-03 6.8575006e-03 -1.1242810e-06) (2.3620810e-07 -1.4532407e-07 2.2969328e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.044         	((1.9975145e-03 -3.0156390e-03 3.3293944e+03) (4.7892536e-07 5.1243431e-07 -4.8087218e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-7.1713154e-03 -6.6190913e-04 -1.1343295e-06) (2.3603400e-07 -1.4646872e-07 2.3418665e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.045         	((-2.4491750e-03 2.5303484e-03 3.3279155e+03) (4.7969216e-07 5.1437214e-07 -4.8067478e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((4.6962284e-03 5.8765756e-03 -1.1323178e-06) (2.3607475e-07 -1.4788260e-07 2.3866817e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.046         	((1.5414946e-03 -2.6783925e-03 3.3292259e+03) (4.7997761e-07 5.1632979e-07 -4.8047866e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-6.3274704e-03 -1.2270226e-04 -1.1399969e-06) (2.3627627e-07 -1.4920677e-07 2.4312890e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.047         	((-1.9960168e-03 2.1651801e-03 3.3279315e+03) (4.8018288e-07 5.1806167e-07 -4.8028327e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((3.7941213e-03 5.2923592e-03 -1.1381479e-06) (2.3623668e-07 -1.5063931e-07 2.4756342e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.048         	((7.2413519e-04 -2.1554548e-03 3.3290676e+03) (4.7967648e-07 5.1972787e-07 -4.8008907e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-5.3121313e-03 1.0990465e-03 -1.1456573e-06) (2.3650344e-07 -1.5149062e-07 2.5198651e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.049         	((-1.5839739e-03 1.6734613e-03 3.3279385e+03) (4.7908153e-07 5.2103524e-07 -4.7989551e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((2.9094327e-03 4.6291699e-03 -1.1438147e-06) (2.3646735e-07 -1.5258815e-07 2.5641928e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.05          	((3.8456569e-04 -1.9164115e-03 3.3289196e+03) (4.7829826e-07 5.2229271e-07 -4.7970305e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-4.7363245e-03 1.6320750e-03 -1.1505143e-06) (2.3654002e-07 -1.5346432e-07 2.6086972e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.051         	((-8.2918817e-04 1.5084308e-03 3.3279365e+03) (4.7779606e-07 5.2339311e-07 -4.7951119e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((2.3777713e-03 3.6268089e-03 -1.1486607e-06) (2.3647790e-07 -1.5481795e-07 2.6535142e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.052         	((8.4126463e-05 -1.8241906e-03 3.3287815e+03) (4.7714224e-07 5.2425219e-07 -4.7932032e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-4.3909299e-03 2.0031959e-03 -1.1539126e-06) (2.3642365e-07 -1.5602690e-07 2.6989336e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.053         	((-1.0434844e-03 1.3801880e-03 3.3279261e+03) (4.7613743e-07 5.2507924e-07 -4.7913002e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((2.0180585e-03 4.0025282e-03 -1.1523871e-06) (2.3633156e-07 -1.5685477e-07 2.7456381e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.054         	((3.5197971e-04 -1.5483710e-03 3.3286517e+03) (4.7540589e-07 5.2573459e-07 -4.7894065e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-3.8490744e-03 1.6619216e-03 -1.1570485e-06) (2.3635748e-07 -1.5815869e-07 2.7888737e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
